polityIV_ccode,polityIV_country,year,polity,polity2,id
2,United States,1800,4,4,2_1800
2,United States,1801,4,4,2_1801
2,United States,1802,4,4,2_1802
2,United States,1803,4,4,2_1803
2,United States,1804,4,4,2_1804
2,United States,1805,4,4,2_1805
2,United States,1806,4,4,2_1806
2,United States,1807,4,4,2_1807
2,United States,1808,4,4,2_1808
2,United States,1809,9,9,2_1809
2,United States,1810,9,9,2_1810
2,United States,1811,9,9,2_1811
2,United States,1812,9,9,2_1812
2,United States,1813,9,9,2_1813
2,United States,1814,9,9,2_1814
2,United States,1815,9,9,2_1815
2,United States,1816,9,9,2_1816
2,United States,1817,9,9,2_1817
2,United States,1818,9,9,2_1818
2,United States,1819,9,9,2_1819
2,United States,1820,9,9,2_1820
2,United States,1821,9,9,2_1821
2,United States,1822,9,9,2_1822
2,United States,1823,9,9,2_1823
2,United States,1824,9,9,2_1824
2,United States,1825,9,9,2_1825
2,United States,1826,9,9,2_1826
2,United States,1827,9,9,2_1827
2,United States,1828,9,9,2_1828
2,United States,1829,9,9,2_1829
2,United States,1830,9,9,2_1830
2,United States,1831,9,9,2_1831
2,United States,1832,9,9,2_1832
2,United States,1833,9,9,2_1833
2,United States,1834,9,9,2_1834
2,United States,1835,9,9,2_1835
2,United States,1836,9,9,2_1836
2,United States,1837,9,9,2_1837
2,United States,1838,9,9,2_1838
2,United States,1839,9,9,2_1839
2,United States,1840,9,9,2_1840
2,United States,1841,9,9,2_1841
2,United States,1842,9,9,2_1842
2,United States,1843,9,9,2_1843
2,United States,1844,9,9,2_1844
2,United States,1845,10,10,2_1845
2,United States,1846,10,10,2_1846
2,United States,1847,10,10,2_1847
2,United States,1848,10,10,2_1848
2,United States,1849,10,10,2_1849
2,United States,1850,9,9,2_1850
2,United States,1851,9,9,2_1851
2,United States,1852,9,9,2_1852
2,United States,1853,9,9,2_1853
2,United States,1854,8,8,2_1854
2,United States,1855,8,8,2_1855
2,United States,1856,8,8,2_1856
2,United States,1857,8,8,2_1857
2,United States,1858,8,8,2_1858
2,United States,1859,8,8,2_1859
2,United States,1860,8,8,2_1860
2,United States,1861,8,8,2_1861
2,United States,1862,8,8,2_1862
2,United States,1863,8,8,2_1863
2,United States,1864,8,8,2_1864
2,United States,1865,8,8,2_1865
2,United States,1866,8,8,2_1866
2,United States,1867,8,8,2_1867
2,United States,1868,8,8,2_1868
2,United States,1869,8,8,2_1869
2,United States,1870,8,8,2_1870
2,United States,1871,10,10,2_1871
2,United States,1872,10,10,2_1872
2,United States,1873,10,10,2_1873
2,United States,1874,10,10,2_1874
2,United States,1875,10,10,2_1875
2,United States,1876,10,10,2_1876
2,United States,1877,10,10,2_1877
2,United States,1878,10,10,2_1878
2,United States,1879,10,10,2_1879
2,United States,1880,10,10,2_1880
2,United States,1881,10,10,2_1881
2,United States,1882,10,10,2_1882
2,United States,1883,10,10,2_1883
2,United States,1884,10,10,2_1884
2,United States,1885,10,10,2_1885
2,United States,1886,10,10,2_1886
2,United States,1887,10,10,2_1887
2,United States,1888,10,10,2_1888
2,United States,1889,10,10,2_1889
2,United States,1890,10,10,2_1890
2,United States,1891,10,10,2_1891
2,United States,1892,10,10,2_1892
2,United States,1893,10,10,2_1893
2,United States,1894,10,10,2_1894
2,United States,1895,10,10,2_1895
2,United States,1896,10,10,2_1896
2,United States,1897,10,10,2_1897
2,United States,1898,10,10,2_1898
2,United States,1899,10,10,2_1899
2,United States,1900,10,10,2_1900
2,United States,1901,10,10,2_1901
2,United States,1902,10,10,2_1902
2,United States,1903,10,10,2_1903
2,United States,1904,10,10,2_1904
2,United States,1905,10,10,2_1905
2,United States,1906,10,10,2_1906
2,United States,1907,10,10,2_1907
2,United States,1908,10,10,2_1908
2,United States,1909,10,10,2_1909
2,United States,1910,10,10,2_1910
2,United States,1911,10,10,2_1911
2,United States,1912,10,10,2_1912
2,United States,1913,10,10,2_1913
2,United States,1914,10,10,2_1914
2,United States,1915,10,10,2_1915
2,United States,1916,10,10,2_1916
2,United States,1917,10,10,2_1917
2,United States,1918,10,10,2_1918
2,United States,1919,10,10,2_1919
2,United States,1920,10,10,2_1920
2,United States,1921,10,10,2_1921
2,United States,1922,10,10,2_1922
2,United States,1923,10,10,2_1923
2,United States,1924,10,10,2_1924
2,United States,1925,10,10,2_1925
2,United States,1926,10,10,2_1926
2,United States,1927,10,10,2_1927
2,United States,1928,10,10,2_1928
2,United States,1929,10,10,2_1929
2,United States,1930,10,10,2_1930
2,United States,1931,10,10,2_1931
2,United States,1932,10,10,2_1932
2,United States,1933,10,10,2_1933
2,United States,1934,10,10,2_1934
2,United States,1935,10,10,2_1935
2,United States,1936,10,10,2_1936
2,United States,1937,10,10,2_1937
2,United States,1938,10,10,2_1938
2,United States,1939,10,10,2_1939
2,United States,1940,10,10,2_1940
2,United States,1941,10,10,2_1941
2,United States,1942,10,10,2_1942
2,United States,1943,10,10,2_1943
2,United States,1944,10,10,2_1944
2,United States,1945,10,10,2_1945
2,United States,1946,10,10,2_1946
2,United States,1947,10,10,2_1947
2,United States,1948,10,10,2_1948
2,United States,1949,10,10,2_1949
2,United States,1950,10,10,2_1950
2,United States,1951,10,10,2_1951
2,United States,1952,10,10,2_1952
2,United States,1953,10,10,2_1953
2,United States,1954,10,10,2_1954
2,United States,1955,10,10,2_1955
2,United States,1956,10,10,2_1956
2,United States,1957,10,10,2_1957
2,United States,1958,10,10,2_1958
