ccode,region,year,country,no,coup,successful,date,combat,id
40,5,1952,Cuba,1,1,1,1952-03-10,1,40_1952
40,5,1957,Cuba,1,1,0,1957-09-05,1,40_1957
41,5,1950,Haiti,1,1,1,1950-05-10,0,41_1950
41,5,1956,Haiti,1,1,0,1956-12-06,0,41_1956
41,5,1957,Haiti,1,1,1,1957-04-02,0,41_1957
41,5,1957,Haiti,2,1,1,1957-05-21,0,41_1957
41,5,1957,Haiti,3,1,1,1957-06-14,0,41_1957
41,5,1958,Haiti,1,1,0,1958-07-03,1,41_1958
41,5,1970,Haiti,1,1,0,1970-04-24,0,41_1970
41,5,1986,Haiti,1,1,1,1986-02-07,0,41_1986
41,5,1988,Haiti,1,1,1,1988-06-20,1,41_1988
41,5,1988,Haiti,2,1,1,1988-09-18,1,41_1988
41,5,1988,Haiti,3,1,0,1988-10-14,1,41_1988
41,5,1989,Haiti,1,1,0,1989-04-02,0,41_1989
41,5,1989,Haiti,2,1,0,1989-04-05,1,41_1989
41,5,1991,Haiti,1,1,0,1991-01-07,1,41_1991
41,5,1991,Haiti,2,1,1,1991-09-30,0,41_1991
42,5,1962,Dominican Republic,1,1,0,1962-01-16,0,42_1962
42,5,1963,Dominican Republic,1,1,1,1963-09-25,0,42_1963
42,5,1965,Dominican Republic,1,1,1,1965-04-25,1,42_1965
42,5,1965,Dominican Republic,2,1,0,1965-11-22,1,42_1965
54,5,1981,Dominica,1,1,0,1981-12-19,1,54_1981
55,5,1983,Grenada,1,1,1,1983-10-14,1,55_1983
90,5,1954,Guatemala,1,1,1,1954-06-27,0,90_1954
90,5,1955,Guatemala,1,1,0,1955-01-20,1,90_1955
90,5,1957,Guatemala,1,1,1,1957-10-24,1,90_1957
90,5,1960,Guatemala,1,1,0,1960-11-13,1,90_1960
90,5,1962,Guatemala,1,1,0,1962-11-25,1,90_1962
90,5,1963,Guatemala,1,1,1,1963-03-30,0,90_1963
90,5,1982,Guatemala,1,1,1,1982-03-23,1,90_1982
90,5,1983,Guatemala,1,1,1,1983-08-08,0,90_1983
90,5,1988,Guatemala,1,1,0,1988-05-11,1,90_1988
90,5,1989,Guatemala,1,1,0,1989-05-09,1,90_1989
90,5,1993,Guatemala,1,1,1,1993-06-01,0,90_1993
91,5,1956,Honduras,1,1,0,1956-08-01,1,91_1956
91,5,1956,Honduras,2,1,1,1956-10-21,0,91_1956
91,5,1959,Honduras,1,1,0,1959-07-12,1,91_1959
91,5,1963,Honduras,1,1,1,1963-10-03,0,91_1963
91,5,1972,Honduras,1,1,1,1972-12-04,0,91_1972
91,5,1975,Honduras,1,1,1,1975-04-22,1,91_1975
91,5,1978,Honduras,1,1,1,1978-08-07,1,91_1978
91,5,2009,Honduras,1,1,1,2009-06-28,0,91_2009
92,5,1960,El Salvador,1,1,1,1960-10-26,1,92_1960
92,5,1961,El Salvador,1,1,1,1961-01-25,1,92_1961
92,5,1972,El Salvador,1,1,0,1972-03-25,1,92_1972
92,5,1979,El Salvador,1,1,1,1979-10-15,1,92_1979
95,5,1968,Panama,1,1,1,1968-10-12,0,95_1968
95,5,1969,Panama,1,1,0,1969-12-14,1,95_1969
95,5,1988,Panama,1,1,0,1988-03-16,1,95_1988
95,5,1989,Panama,1,1,0,1989-10-03,1,95_1989
100,5,1953,Colombia,1,1,1,1953-06-13,0,100_1953
100,5,1957,Colombia,1,1,1,1957-05-10,0,100_1957
100,5,1958,Colombia,1,1,0,1958-05-02,1,100_1958
101,5,1952,Venezuela,1,1,0,1952-09-29,1,101_1952
101,5,1958,Venezuela,1,1,0,1958-01-01,1,101_1958
101,5,1958,Venezuela,2,1,1,1958-01-23,1,101_1958
101,5,1958,Venezuela,3,1,0,1958-07-21,0,101_1958
101,5,1958,Venezuela,4,1,0,1958-09-07,1,101_1958
101,5,1960,Venezuela,1,1,0,1960-09-12,1,101_1960
101,5,1961,Venezuela,1,1,0,1961-02-20,1,101_1961
101,5,1961,Venezuela,2,1,0,1961-06-26,1,101_1961
101,5,1962,Venezuela,1,1,0,1962-05-04,1,101_1962
101,5,1962,Venezuela,2,1,0,1962-06-02,1,101_1962
101,5,1966,Venezuela,1,1,0,1966-10-30,1,101_1966
101,5,1992,Venezuela,1,1,0,1992-02-04,1,101_1992
101,5,1992,Venezuela,2,1,0,1992-11-27,1,101_1992
101,5,2002,Venezuela,1,1,0,2002-04-12,1,101_2002
115,5,1980,Suriname,1,1,1,1980-02-25,1,115_1980
115,5,1980,Suriname,2,1,1,1980-08-15,0,115_1980
115,5,1982,Suriname,1,1,1,1982-02-05,0,115_1982
115,5,1990,Suriname,1,1,1,1990-12-27,0,115_1990
130,5,1954,Ecuador,1,1,0,1954-12-23,1,130_1954
130,5,1956,Ecuador,1,1,1,1956-08-08,1,130_1956
130,5,1961,Ecuador,1,1,1,1961-11-07,0,130_1961
130,5,1963,Ecuador,1,1,1,1963-07-11,0,130_1963
130,5,1966,Ecuador,1,1,1,1966-03-29,0,130_1966
130,5,1972,Ecuador,1,1,1,1972-02-15,0,130_1972
130,5,1975,Ecuador,1,1,0,1975-09-01,0,130_1975
130,5,1976,Ecuador,1,1,1,1976-01-11,0,130_1976
130,5,1986,Ecuador,1,1,0,1986-03-08,0,130_1986
130,5,2000,Ecuador,1,1,1,2000-01-21,0,130_2000
135,5,1954,Peru,1,1,0,1954-08-10,0,135_1954
135,5,1956,Peru,1,1,0,1956-02-16,1,135_1956
135,5,1962,Peru,1,1,1,1962-07-18,0,135_1962
135,5,1963,Peru,1,1,1,1963-03-02,0,135_1963
135,5,1968,Peru,1,1,1,1968-10-03,0,135_1968
135,5,1975,Peru,1,1,1,1975-08-29,0,135_1975
135,5,1992,Peru,1,1,0,1992-11-13,1,135_1992
135,5,2000,Peru,1,1,0,2000-10-30,1,135_2000
140,5,1955,Brazil,1,1,1,1955-11-11,0,140_1955
140,5,1956,Brazil,1,1,0,1956-01-19,1,140_1956
140,5,1959,Brazil,1,1,0,1959-12-03,1,140_1959
