year,continent,country,party_tag,membership_1000,population_mln,survived,marxist
1945,Europe,USSR,CPSU,3965,170,0,1
1946,Europe,USSR,CPSU,4128,170,0,1
1947,Europe,USSR,CPSU,4775,173,0,1
1948,Europe,USSR,CPSU,5181,175,0,1
1949,Europe,USSR,CPSU,5335,178,0,1
1950,Europe,USSR,CPSU,5511,181,0,1
1951,Europe,USSR,CPSU,5658,184,0,1
1952,Europe,USSR,CPSU,5853,186,0,1
1953,Europe,USSR,CPSU,6067,190,0,1
1954,Europe,USSR,CPSU,6402,191,0,1
1955,Europe,USSR,CPSU,6610,194,0,1
1956,Europe,USSR,CPSU,6768,198,0,1
1957,Europe,USSR,CPSU,7001,201,0,1
1958,Europe,USSR,CPSU,7296,205,0,1
1959,Europe,USSR,CPSU,7622,209,0,1
1960,Europe,USSR,CPSU,8017,212,0,1
1961,Europe,USSR,CPSU,8472,216,0,1
1962,Europe,USSR,CPSU,9052,220,0,1
1963,Europe,USSR,CPSU,9581,223,0,1
1964,Europe,USSR,CPSU,10183,226,0,1
1965,Europe,USSR,CPSU,10811,230,0,1
1966,Europe,USSR,CPSU,11548,233,0,1
1967,Europe,USSR,CPSU,12135,235,0,1
1968,Europe,USSR,CPSU,12485,238,0,1
1969,Europe,USSR,CPSU,12958,240,0,1
1970,Europe,USSR,CPSU,13395,242,0,1
1971,Europe,USSR,CPSU,13746,244,0,1
1972,Europe,USSR,CPSU,14109,247,0,1
1973,Europe,USSR,CPSU,14330,249,0,1
1974,Europe,USSR,CPSU,14493,251,0,1
1975,Europe,USSR,CPSU,14719,254,0,1
1976,Europe,USSR,CPSU,15029,256,0,1
1977,Europe,USSR,CPSU,15545,258,0,1
1978,Europe,USSR,CPSU,15700,260,0,1
1979,Europe,USSR,CPSU,15900,262,0,1
1980,Europe,USSR,CPSU,16398,265,0,1
1981,Europe,USSR,CPSU,16732,267,0,1
1982,Europe,USSR,CPSU,17076,270,0,1
1983,Europe,USSR,CPSU,17405,272,0,1
1984,Europe,USSR,CPSU,17719,274,0,1
1985,Europe,USSR,CPSU,18042,277,0,1
1986,Europe,USSR,CPSU,18900,280,0,1
1987,Europe,USSR,CPSU,19164,282,0,1
1988,Europe,USSR,CPSU,19356,285,0,1
1989,Europe,USSR,CPSU,19375,287,0,1
1990,Europe,USSR,CPSU,19228,288,0,1
1991,Europe,USSR,CPSU,14421,293,0,1
1949,Asia,China,CCP,4500,542,2,1
1950,Asia,China,CCP,5000,546,2,1
1951,Asia,China,CCP,5800,557,2,1
1952,Asia,China,CCP,5980,569,2,1
1953,Asia,China,CCP,6389,581,2,1
1954,Asia,China,CCP,6500,595,2,1
1955,Asia,China,CCP,9000,609,2,1
1956,Asia,China,CCP,10730,621,2,1
1957,Asia,China,CCP,12720,637,2,1
1958,Asia,China,CCP,12450,653,2,1
1959,Asia,China,CCP,13960,666,2,1
1960,Asia,China,CCP,15670,667,2,1
1961,Asia,China,CCP,17380,660,2,1
1962,Asia,China,CCP,17590,666,2,1
1963,Asia,China,CCP,17800,682,2,1
1964,Asia,China,CCP,18011,698,2,1
1965,Asia,China,CCP,18954,715,2,1
1966,Asia,China,CCP,20000,735,2,1
1967,Asia,China,CCP,20500,754,2,1
1968,Asia,China,CCP,21500,774,2,1
1969,Asia,China,CCP,22000,796,2,1
1970,Asia,China,CCP,19500,818,2,1
1971,Asia,China,CCP,17000,841,2,1
1972,Asia,China,CCP,20000,862,2,1
1973,Asia,China,CCP,28000,882,2,1
1974,Asia,China,CCP,30000,900,2,1
1975,Asia,China,CCP,32000,916,2,1
1976,Asia,China,CCP,35070,931,2,1
1977,Asia,China,CCP,35000,943,2,1
1978,Asia,China,CCP,36000,956,2,1
1979,Asia,China,CCP,37000,969,2,1
1980,Asia,China,CCP,38000,981,2,1
1981,Asia,China,CCP,38900,994,2,1
1982,Asia,China,CCP,39650,1008,2,1
1983,Asia,China,CCP,40950,1020,2,1
1984,Asia,China,CCP,41000,1035,2,1
1985,Asia,China,CCP,42000,1045,2,1
1986,Asia,China,CCP,44000,1067,2,1
1987,Asia,China,CCP,46012,1084,2,1
1988,Asia,China,CCP,48000,1102,2,1
1989,Asia,China,CCP,49000,1119,2,1
1990,Asia,China,CCP,50000,1135,2,1
1991,Asia,China,CCP,51956,1151,2,1
1992,Asia,China,CCP,52000,1165,2,1
1993,Asia,China,CCP,54000,1178,2,1
1994,Asia,China,CCP,55000,1192,2,1
1995,Asia,China,CCP,57000,1205,2,1
1996,Asia,China,CCP,58000,1217,2,1
1997,Asia,China,CCP,60400,1230,2,1
1998,Asia,China,CCP,61000,1242,2,1
1999,Asia,China,CCP,63000,1253,2,1
2000,Asia,China,CCP,64517,1263,2,1
2001,Asia,China,CCP,65749,1272,2,1
2002,Asia,China,CCP,66355,1280,2,1
2003,Asia,China,CCP,68232,1288,2,1
2004,Asia,China,CCP,69603,1296,2,1
2005,Asia,China,CCP,70800,1304,2,1
2006,Asia,China,CCP,72391,1311,2,1
2007,Asia,China,CCP,74153,1318,2,1
2008,Asia,China,CCP,75931,1325,2,1
2009,Asia,China,CCP,77995,1331,2,1
2010,Asia,China,CCP,80269,1338,2,1
2011,Asia,China,CCP,82602,1344,2,1
2012,Asia,China,CCP,85127,1354,2,1
2013,Asia,China,CCP,86686,1361,2,1
2014,Asia,China,CCP,87793,1368,2,1
2015,Asia,China,CCP,88758,1375,2,1
2016,Asia,China,CCP,89447,1383,2,1
