id,regime
2_1946,democracy
2_1947,democracy
2_1948,democracy
2_1949,democracy
2_1950,democracy
2_1951,democracy
2_1952,democracy
2_1953,democracy
2_1954,democracy
2_1955,democracy
2_1956,democracy
2_1957,democracy
2_1958,democracy
2_1959,democracy
2_1960,democracy
2_1961,democracy
2_1962,democracy
2_1963,democracy
2_1964,democracy
2_1965,democracy
2_1966,democracy
2_1967,democracy
2_1968,democracy
2_1969,democracy
2_1970,democracy
2_1971,democracy
2_1972,democracy
2_1973,democracy
2_1974,democracy
2_1975,democracy
2_1976,democracy
2_1977,democracy
2_1978,democracy
2_1979,democracy
2_1980,democracy
2_1981,democracy
2_1982,democracy
2_1983,democracy
2_1984,democracy
2_1985,democracy
2_1986,democracy
2_1987,democracy
2_1988,democracy
2_1989,democracy
2_1990,democracy
2_1991,democracy
2_1992,democracy
2_1993,democracy
2_1994,democracy
2_1995,democracy
2_1996,democracy
2_1997,democracy
2_1998,democracy
2_1999,democracy
2_2000,democracy
2_2001,democracy
2_2002,democracy
2_2003,democracy
2_2004,democracy
2_2005,democracy
2_2006,democracy
2_2007,democracy
2_2008,democracy
20_1946,democracy
20_1947,democracy
20_1948,democracy
20_1949,democracy
20_1950,democracy
20_1951,democracy
20_1952,democracy
20_1953,democracy
20_1954,democracy
20_1955,democracy
20_1956,democracy
20_1957,democracy
20_1958,democracy
20_1959,democracy
20_1960,democracy
20_1961,democracy
20_1962,democracy
20_1963,democracy
20_1964,democracy
20_1965,democracy
20_1966,democracy
20_1967,democracy
20_1968,democracy
20_1969,democracy
20_1970,democracy
20_1971,democracy
20_1972,democracy
20_1973,democracy
20_1974,democracy
20_1975,democracy
20_1976,democracy
20_1977,democracy
20_1978,democracy
20_1979,democracy
20_1980,democracy
20_1981,democracy
20_1982,democracy
20_1983,democracy
20_1984,democracy
20_1985,democracy
20_1986,democracy
20_1987,democracy
20_1988,democracy
20_1989,democracy
20_1990,democracy
20_1991,democracy
20_1992,democracy
20_1993,democracy
20_1994,democracy
20_1995,democracy
20_1996,democracy
20_1997,democracy
20_1998,democracy
20_1999,democracy
20_2000,democracy
20_2001,democracy
20_2002,democracy
20_2003,democracy
20_2004,democracy
20_2005,democracy
20_2006,democracy
20_2007,democracy
20_2008,democracy
31_1973,democracy
31_1974,democracy
31_1975,democracy
31_1976,democracy
31_1977,democracy
31_1978,democracy
31_1979,democracy
31_1980,democracy
31_1981,democracy
31_1982,democracy
31_1983,democracy
31_1984,democracy
31_1985,democracy
31_1986,democracy
31_1987,democracy
31_1988,democracy
31_1989,democracy
31_1990,democracy
31_1991,democracy
31_1992,democracy
31_1993,democracy
31_1994,democracy
31_1995,democracy
31_1996,democracy
31_1997,democracy
31_1998,democracy
31_1999,democracy
31_2000,democracy
31_2001,democracy
31_2002,democracy
31_2003,democracy
31_2004,democracy
31_2005,democracy
31_2006,democracy
31_2007,democracy
31_2008,democracy
40_1946,democracy
40_1947,democracy
40_1948,democracy
40_1949,democracy
40_1950,democracy
40_1951,democracy
40_1952,democracy
40_1953,dictatorship
40_1954,dictatorship
40_1955,dictatorship
40_1956,dictatorship
40_1957,dictatorship
40_1958,dictatorship
40_1959,dictatorship
40_1960,dictatorship
40_1961,dictatorship
40_1962,dictatorship
40_1963,dictatorship
40_1964,dictatorship
40_1965,dictatorship
40_1966,dictatorship
40_1967,dictatorship
40_1968,dictatorship
40_1969,dictatorship
40_1970,dictatorship
40_1971,dictatorship
40_1972,dictatorship
40_1973,dictatorship
40_1974,dictatorship
40_1975,dictatorship
40_1976,dictatorship
40_1977,dictatorship
40_1978,dictatorship
40_1979,dictatorship
40_1980,dictatorship
40_1981,dictatorship
40_1982,dictatorship
40_1983,dictatorship
40_1984,dictatorship
40_1985,dictatorship
40_1986,dictatorship
40_1987,dictatorship
40_1988,dictatorship
40_1989,dictatorship
40_1990,dictatorship
40_1991,dictatorship
40_1992,dictatorship
40_1993,dictatorship
40_1994,dictatorship
40_1995,dictatorship
40_1996,dictatorship
40_1997,dictatorship
40_1998,dictatorship
40_1999,dictatorship
40_2000,dictatorship
40_2001,dictatorship
40_2002,dictatorship
40_2003,dictatorship
40_2004,dictatorship
40_2005,dictatorship
40_2006,dictatorship
40_2007,dictatorship
40_2008,dictatorship
41_1946,dictatorship
41_1947,dictatorship
41_1948,dictatorship
41_1949,dictatorship
41_1950,dictatorship
41_1951,dictatorship
41_1952,dictatorship
41_1953,dictatorship
41_1954,dictatorship
41_1955,dictatorship
41_1956,dictatorship
41_1957,dictatorship
41_1958,dictatorship
41_1959,dictatorship
41_1960,dictatorship
41_1961,dictatorship
41_1962,dictatorship
41_1963,dictatorship
41_1964,dictatorship
41_1965,dictatorship
41_1966,dictatorship
41_1967,dictatorship
41_1968,dictatorship
41_1969,dictatorship
41_1970,dictatorship
41_1971,dictatorship
41_1972,dictatorship
41_1973,dictatorship
41_1974,dictatorship
41_1975,dictatorship
41_1976,dictatorship
41_1977,dictatorship
41_1978,dictatorship
41_1979,dictatorship
41_1980,dictatorship
41_1981,dictatorship
41_1982,dictatorship
41_1983,dictatorship
41_1984,dictatorship
41_1985,dictatorship
41_1986,dictatorship
41_1987,dictatorship
41_1988,dictatorship
41_1989,dictatorship
41_1990,dictatorship
41_1991,democracy
41_1992,dictatorship
41_1993,dictatorship
41_1994,dictatorship
41_1995,democracy
41_1996,democracy
41_1997,democracy
41_1998,democracy
41_1999,democracy
41_2000,dictatorship
41_2001,dictatorship
41_2002,dictatorship
41_2003,dictatorship
41_2004,dictatorship
41_2005,dictatorship
41_2006,dictatorship
41_2007,dictatorship
41_2008,dictatorship
42_1946,dictatorship
42_1947,dictatorship
42_1948,dictatorship
42_1949,dictatorship
42_1950,dictatorship
42_1951,dictatorship
42_1952,dictatorship
42_1953,dictatorship
42_1954,dictatorship
42_1955,dictatorship
42_1956,dictatorship
42_1957,dictatorship
42_1958,dictatorship
42_1959,dictatorship
42_1960,dictatorship
42_1961,dictatorship
42_1962,dictatorship
42_1963,dictatorship
42_1964,dictatorship
42_1965,no authority
42_1966,no authority
42_1967,dictatorship
42_1968,dictatorship
42_1969,dictatorship
42_1970,dictatorship
42_1971,dictatorship
42_1972,dictatorship
42_1973,dictatorship
42_1974,dictatorship
42_1975,dictatorship
42_1976,dictatorship
42_1977,dictatorship
42_1978,dictatorship
42_1979,democracy
42_1980,democracy
42_1981,democracy
42_1982,democracy
42_1983,democracy
42_1984,democracy
42_1985,democracy
42_1986,democracy
42_1987,democracy
42_1988,democracy
42_1989,democracy
42_1990,democracy
42_1991,democracy
42_1992,democracy
42_1993,democracy
42_1994,democracy
42_1995,democracy
42_1996,democracy
42_1997,democracy
42_1998,democracy
42_1999,democracy
42_2000,democracy
42_2001,democracy
42_2002,democracy
42_2003,democracy
42_2004,democracy
42_2005,democracy
42_2006,democracy
42_2007,democracy
42_2008,democracy
51_1962,democracy
51_1963,democracy
51_1964,democracy
51_1965,democracy
51_1966,democracy
51_1967,democracy
51_1968,democracy
51_1969,democracy
51_1970,democracy
51_1971,democracy
51_1972,democracy
51_1973,democracy
51_1974,democracy
51_1975,democracy
51_1976,democracy
51_1977,democracy
51_1978,democracy
51_1979,democracy
51_1980,democracy
51_1981,democracy
51_1982,democracy
51_1983,democracy
51_1984,democracy
51_1985,democracy
51_1986,democracy
51_1987,democracy
51_1988,democracy
51_1989,democracy
51_1990,democracy
51_1991,democracy
51_1992,democracy
51_1993,democracy
51_1994,democracy
51_1995,democracy
51_1996,democracy
51_1997,democracy
51_1998,democracy
51_1999,democracy
51_2000,democracy
51_2001,democracy
51_2002,democracy
51_2003,democracy
51_2004,democracy
51_2005,democracy
51_2006,democracy
51_2007,democracy
51_2008,democracy
52_1962,democracy
52_1963,democracy
52_1964,democracy
52_1965,democracy
52_1966,democracy
52_1967,democracy
52_1968,democracy
52_1969,democracy
52_1970,democracy
52_1971,democracy
52_1972,democracy
52_1973,democracy
52_1974,democracy
52_1975,democracy
52_1976,democracy
52_1977,democracy
52_1978,democracy
52_1979,democracy
52_1980,democracy
52_1981,democracy
52_1982,democracy
52_1983,democracy
52_1984,democracy
52_1985,democracy
52_1986,democracy
52_1987,democracy
52_1988,democracy
52_1989,democracy
52_1990,democracy
52_1991,democracy
52_1992,democracy
52_1993,democracy
52_1994,democracy
52_1995,democracy
52_1996,democracy
52_1997,democracy
52_1998,democracy
52_1999,democracy
52_2000,democracy
52_2001,democracy
52_2002,democracy
52_2003,democracy
52_2004,democracy
52_2005,democracy
52_2006,democracy
52_2007,democracy
52_2008,democracy
53_1966,democracy
53_1967,democracy
53_1968,democracy
53_1969,democracy
53_1970,democracy
53_1971,democracy
53_1972,democracy
53_1973,democracy
53_1974,democracy
53_1975,democracy
53_1976,democracy
53_1977,democracy
53_1978,democracy
53_1979,democracy
53_1980,democracy
53_1981,democracy
53_1982,democracy
53_1983,democracy
53_1984,democracy
53_1985,democracy
53_1986,democracy
53_1987,democracy
53_1988,democracy
53_1989,democracy
53_1990,democracy
53_1991,democracy
53_1992,democracy
53_1993,democracy
53_1994,democracy
53_1995,democracy
53_1996,democracy
53_1997,democracy
53_1998,democracy
53_1999,democracy
53_2000,democracy
53_2001,democracy
53_2002,democracy
53_2003,democracy
53_2004,democracy
53_2005,democracy
53_2006,democracy
53_2007,democracy
53_2008,democracy
54_1978,democracy
54_1979,democracy
54_1980,democracy
54_1981,democracy
54_1982,democracy
54_1983,democracy
54_1984,democracy
54_1985,democracy
54_1986,democracy
54_1987,democracy
54_1988,democracy
54_1989,democracy
54_1990,democracy
54_1991,democracy
54_1992,democracy
54_1993,democracy
54_1994,democracy
