tik,turnout_2_tour,sobchak_p_2_tour,yakovlev_p_2_tour,turnout_1_tour,sobchak_p_1_tour,yakovlev_p_1_tour,boldyrev_p_1_tour,beliakov_p_1_tour,belyaev_p_1_tour,sevenard_p_1_tour,diff_tour
Адмиралтейская №1,40.14483255783472,48.1682720013172,45.392277928706676,44.563891480048795,33.122925071831595,19.971416236173347,17.477780589837877,9.393934882613033,4.009170624227718,7.981122805972815,4.419058922214077
Василеостровская №2,44.81374966613455,50.50274798271498,43.53419944900499,49.91119558782289,33.827855548792854,19.865844998985597,18.169253398255226,7.828667072428484,3.4743355650233316,10.350730371272062,5.09744592168834
Кировская №3,42.67779260624906,45.006670788454656,48.924538739383685,48.0579738205052,28.92577668768979,22.83928988554076,16.99223312310208,9.545082924550337,4.230903994393833,10.483823872926887,5.38018121425614
Красногвардейская №4,44.99045012256929,49.76203334908526,44.49301289407953,50.34117842423876,31.043349918595275,21.38737998508848,17.89838864289953,9.197973250559183,5.249463641758342,9.47337989379346,5.35072830166947
Невская № 5,41.68442844913433,43.47513759626456,50.752685900212335,46.97029184661694,26.632819651400908,22.993950946992932,16.943954249907993,11.850859229760207,5.164815461417234,10.129568639293366,5.285863397482608
Красносельская №6,44.00715149927175,42.35797816817933,51.94522583726978,47.88917799571985,25.59454000521241,26.526257492832944,17.425723221266615,9.72928068803753,4.047758665624186,10.038767266093302,3.8820264964480984
Кировская №7,44.52157653744791,43.95439293524531,50.54671719279502,49.7674864213544,27.787964410244076,24.915835036671876,16.94120476133221,9.612841168690633,5.0198388842130575,10.048695443068414,5.245909883906485
Петродворцовая №8,46.81093951303838,37.236674678354305,55.916866958857625,50.213301515176276,24.172570934371155,23.407510893789706,12.42390978944217,11.306256860592754,4.703456075574627,14.083757442703657,3.402362002137899
Ломоносовская №9,44.99136974479103,38.07750655082058,56.77147979589022,48.47165616895147,26.43225806451613,26.15483870967742,11.083870967741936,10.67741935483871,4.464516129032258,13.703225806451613,3.4802864241604397
Выборгская №10,46.92910205189379,52.48406436507829,41.57204530998362,51.727828457388206,34.46725149080873,18.005519688531862,18.626484648366272,8.720615051007837,4.017791138928589,10.568725050515008,4.798726405494413
Калининская №11,44.487202572347265,49.98951097850916,44.18325485991329,49.631859226672844,31.360299530931197,20.139458572600493,19.38432090195831,9.532824299026103,4.252119223407164,10.130203403378136,5.14465665432558
Приморская №12,45.92314057034252,48.60251798561151,45.64028776978417,51.85465245300698,31.19229289561426,22.12907155680944,17.605475763016155,8.588740702744294,3.965760451397794,11.01243908694537,5.931511882664459
Курортная №13,47.98778596817672,41.248931570214694,53.315903263110265,51.28712871287129,27.715621016853138,22.385875466175705,14.76655808903366,12.288155596468867,3.129868290610395,12.23622716329132,3.299342744694563
Выборгская №14,42.938668040410974,46.64025250151098,47.32657309784434,47.72168792709402,29.581107333657116,20.645944633317146,18.150801359883438,10.483244293346285,4.905293831957261,9.780233122875181,4.783019886683043
Кронштадтская №15,47.28789986091794,35.29753265602322,57.997097242380256,48.032976180885626,22.812075983717776,27.775893260967887,7.276119402985075,8.14111261872456,3.290366350067843,20.414970601537767,0.7450763199676871
Центральная №16,44.30872052409991,49.834337349397586,43.64027538726334,49.038878723283844,34.185933079699545,19.55906740805775,16.230611647644132,8.53185055116574,4.325431665203395,9.199102526582772,4.730158199183933
Калининская №17,46.83866823680548,48.58811175092607,44.89770012809121,51.35835033051056,31.379408749326203,18.403390654561214,18.782831112003638,9.280965617832644,4.282709564224789,9.732277805375583,4.519682093705079
Петроградская №18,41.808997268568795,48.921508096158064,44.43227309844848,46.578379132833604,32.7678859312865,20.318489592662917,17.1300111059363,8.101959660373302,3.768853222512808,9.567226740228566,4.769381864264808
Московская №19,44.25074586951253,47.37534309240622,46.62435193656603,50.56408282141841,28.68724245227483,19.074930619796486,22.531326213102346,10.77453536287949,4.411739971406947,9.13295769910016,6.313336951905882
Пушкинская №20,47.66711237856323,37.67744529031934,55.14183060727117,51.44765884116473,23.466685415641333,21.758185099252383,13.630504581780684,15.001523354191567,5.387986594483114,12.231362347371629,3.7805464626014995
Колпинская №21,41.63676057180453,40.33390799382996,54.250975410579805,44.11321374205295,24.960459359097786,23.31006739100536,12.582519598404621,13.760143033970568,7.098404621097511,10.199766194471186,2.476453170248419
Павловская №22,51.912397340633554,40.9731696225557,53.372745187206306,55.032505678702904,23.774615495184705,31.63719994250395,9.515595802788559,12.879114560873939,3.85223515883283,8.926261319534282,3.1201083380693504
Фрунзенская №23,42.54972179278944,45.395347398379016,49.03637938501516,48.332732220728545,27.653149861430915,23.636714602837564,18.496559901829663,9.712245094930164,5.043638920677816,10.088656638217492,5.783010427939104
Невская №24,40.08562284384222,41.207893413775764,53.47326964974024,44.77854023705552,25.22729844946618,27.226770287093977,15.152601199683103,11.444146829139473,5.143924246425473,8.897649677443695,4.6929173932133
Красногвардейская №25,43.20347205985504,45.806881015768994,47.92989282544884,48.445027828905395,28.150319175055245,22.87165479990179,17.729560520500858,9.420267616007855,4.718573533022343,10.937883623864474,5.241555769050358
Красносельская №26,45.08489884393064,36.61232104473375,57.70369469116275,48.19750987820646,22.819408555842667,27.706000574217626,15.044501866207295,11.56665709637286,5.047372954349698,10.621112068140492,3.1126110342758224
Московская №27,46.610957930882826,51.13266834740035,43.560232379699656,52.9716745747803,31.398561848590127,17.379009453017694,23.134846893431366,9.887694917993052,3.967035630605155,9.545124020360346,6.360716643897476
Приморская №28,43.3628388586978,46.97706101108288,47.271622666519384,48.82580073427016,29.64384730219663,23.64453631248257,16.567416375477794,9.659268008596223,4.473645356562823,9.672392014042686,5.462961875572361
Фрунзенская №29,42.3611576236201,45.7108874126077,49.03252008935047,48.21551469865303,28.571059765070352,23.587195043242545,17.42997289273267,9.435910675100038,4.3849231960759,10.308506518652381,5.8543570750329295
Центральная №30,41.38815589860522,53.877505318553354,41.106259097525474,46.123519272380534,36.6062264796442,18.66736431144473,17.236521704131533,8.750075466382242,4.519933187096255,7.898814674689582,4.735363373775314
