region,city_capital,date,es_family,number_of_oik,all_votes,candidate_votes,candidate_percent,deputy,sex,DOB,exactly_age,age,party,education_wth_na,education_wtht_na,work_binary_status,personality_urls
Алтайский край,г. Барнаул,2008-10-12,Plural,15,3588,276,7.69230769230769,0,М,1956-01-03,52.7732240437158,52,КПРФ,высшее,высшее,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422083038
Алтайский край,г. Барнаул,2008-10-12,Plural,13,2780,641,23.0575539568345,0,М,1971-04-30,37.4520547945205,37,САМОВЫДВИЖЕНИЕ,высшее,высшее,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400595974
Алтайский край,г. Барнаул,2008-10-12,Plural,19,2653,152,5.72936298529966,0,Ж,1960-03-07,48.6,48,СПРАВЕДЛИВАЯ РОССИЯ,профессиональное,профессиональное,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422083156
Алтайский край,г. Барнаул,2008-10-12,Plural,32,2754,54,1.96078431372549,0,Ж,1970-09-29,38.0356164383562,38,САМОВЫДВИЖЕНИЕ,высшее,высшее,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400893299
Алтайский край,г. Барнаул,2008-10-12,Plural,9,2396,115,4.79966611018364,0,М,1983-08-31,25.1150684931507,25,СПРАВЕДЛИВАЯ РОССИЯ,школьное,школьное,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422083148
Алтайский край,г. Барнаул,2008-10-12,Plural,17,2200,596,27.0909090909091,0,М,1970-08-20,38.1452054794521,38,САМОВЫДВИЖЕНИЕ,высшее,высшее,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400692299
Алтайский край,г. Барнаул,2008-10-12,Plural,17,2200,440,20,0,Ж,1988-09-27,20.041095890411,20,КПРФ,школьное,школьное,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422083040
Алтайский край,г. Барнаул,2008-10-12,Plural,24,3389,48,1.41634700501623,0,М,1967-02-19,41.6448087431694,41,САМОВЫДВИЖЕНИЕ,высшее,высшее,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400790535
Алтайский край,г. Барнаул,2008-10-12,Plural,18,3197,48,1.5014075695965,0,М,1959-07-18,49.2356164383562,49,САМОВЫДВИЖЕНИЕ,высшее,высшее,governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400692227
Алтайский край,г. Барнаул,2008-10-12,Plural,31,2086,145,6.95110258868648,0,М,1976-09-10,32.0876712328767,32,САМОВЫДВИЖЕНИЕ,высшее,высшее,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400893321
Алтайский край,г. Барнаул,2008-10-12,Plural,14,2107,133,6.31229235880399,0,М,1978-08-13,30.1643835616438,30,СПРАВЕДЛИВАЯ РОССИЯ,высшее,высшее,governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422083153
Алтайский край,г. Барнаул,2008-10-12,Plural,1,3302,554,16.7777104784979,0,Ж,1959-04-01,49.5315068493151,49,КПРФ,профессиональное,профессиональное,absent_information,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422083029
Алтайский край,г. Барнаул,2008-10-12,Plural,16,2594,14,0.53970701619121,0,М,1985-07-22,23.2246575342466,23,САМОВЫДВИЖЕНИЕ,профессиональное,профессиональное,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400692314
Алтайский край,г. Барнаул,2008-10-12,Plural,21,1845,1109,60.1084010840108,1,М,1959-02-28,49.620218579235,49,ЕДРО,высшее,высшее,non-governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422082960
Алтайский край,г. Барнаул,2008-10-12,Plural,13,2780,391,14.0647482014388,0,Ж,1947-08-19,61.1479452054795,61,САМОВЫДВИЖЕНИЕ,высшее,высшее,absent_information,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422400595952
Алтайский край,г. Барнаул,2008-10-12,Plural,11,2328,1265,54.3384879725086,1,М,1960-03-22,48.558904109589,48,ЕДРО,высшее,высшее,governmental,http://www.altai-terr.vybory.izbirkom.ru/region/region/altai-terr?action=show&root=1&tvd=422422082080&vrn=422422082076&region=22&global=&sub_region=0&prver=0&pronetvd=null&cuiknum=null&type=341&vibid=422422082950
