female	male
1	6
5	3
1	3
7	1
8	10
5	1
10	8
10	10
10	10
10	NA
10	10
1	10
10	10
1	3
1	1
8	10
10	1
1	10
4	6
1	1
1	6
1	5
10	3
5	5
8	1
9	10
1	1
1	5
1	4
1	8
8	7
5	2
3	7
1	6
3	4
2	1
10	NA
1	10
4	10
1	6
1	10
7	10
1	4
4	10
1	3
1	10
4	1
8	7
5	10
4	10
3	10
4	10
8	6
8	8
4	5
5	9
1	7
1	1
1	7
9	8
6	NA
1	1
3	2
8	1
10	1
6	2
10	1
1	1
1	1
4	1
1	6
7	2
1	2
8	2
9	1
6	1
1	6
1	8
1	1
1	6
1	7
1	1
10	1
10	10
1	5
1	1
10	5
2	10
8	10
1	10
5	1
1	3
7	1
6	1
1	8
3	10
5	9
1	3
1	1
1	8
5	4
NA	2
5	1
6	6
5	8
3	6
1	4
1	4
1	1
10	5
4	1
NA	1
NA	7
NA	10
5	4
1	1
1	10
5	10
8	1
1	10
1	10
8	10
5	9
2	5
8	2
8	8
8	5
7	10
1	10
1	1
2	NA
NA	1
4	7
2	3
6	5
1	1
1	1
8	1
1	10
1	4
2	4
7	2
1	3
1	5
7	5
4	6
1	5
1	3
10	1
7	7
5	NA
1	NA
4	3
10	5
1	4
1	9
1	9
5	9
9	1
4	5
10	10
1	7
5	10
5	10
2	6
6	6
6	6
5	1
7	1
7	1
9	1
2	5
3	8
NA	1
NA	9
2	5
9	6
6	7
6	1
4	8
5	10
1	5
7	9
3	10
5	9
4	10
4	2
6	3
9	2
7	9
8	5
3	6
3	NA
2	5
5	5
1	10
4	2
1	NA
6	6
1	10
1	10
1	1
1	5
1	5
10	5
8	1
9	4
6	3
5	1
4	1
3	10
5	5
1	5
4	3
4	9
3	7
1	4
1	10
1	1
9	10
3	4
6	5
8	10
1	9
1	1
NA	1
1	2
NA	1
1	7
1	10
10	5
3	5
1	1
1	1
1	7
4	1
1	6
7	6
6	6
6	NA
2	7
2	5
1	7
NA	5
1	1
NA	1
6	NA
2	10
8	10
5	5
6	5
1	1
3	2
NA	5
NA	1
2	3
5	10
5	10
1	9
5	5
5	5
9	9
9	1
10	2
2	5
1	4
1	2
8	1
7	1
7	10
1	5
6	10
6	NA
5	NA
7	1
5	3
NA	1
10	5
1	5
3	6
1	10
1	8
6	1
8	NA
2	9
1	10
9	5
5	5
6	1
10	6
1	5
5	10
7	6
1	4
7	1
1	1
5	1
5	4
1	8
1	NA
2	7
6	4
8	6
7	10
NA	8
1	NA
1	NA
1	8
5	3
3	2
5	1
4	8
1	1
1	1
1	4
7	10
NA	1
10	5
6	4
9	5
NA	3
4	1
10	10
NA	9
NA	6
8	5
9	10
7	3
4	5
6	NA
9	9
3	5
3	5
5	1
5	8
7	7
5	NA
6	1
5	9
7	2
5	1
10	6
7	7
1	6
8	NA
NA	1
1	5
1	2
10	5
1	7
5	10
1	8
1	2
1	10
6	7
5	2
5	2
1	2
1	10
6	7
8	10
7	1
1	NA
10	5
3	10
1	8
7	NA
7	1
1	5
5	3
5	2
NA	2
10	2
5	7
1	1
5	5
1	6
4	8
3	6
NA	5
8	1
1	3
6	NA
8	4
10	8
1	8
6	9
5	6
5	1
5	5
5	8
10	1
6	NA
4	1
NA	1
1	6
1	10
1	10
1	5
4	4
NA	4
10	5
7	NA
NA	6
NA	6
NA	6
7	NA
5	NA
5	NA
8	4
5	4
5	5
7	5
3	5
1	1
1	1
1	5
2	7
3	5
1	1
1	7
3	1
5	5
NA	7
NA	4
2	7
7	10
8	5
6	8
10	NA
NA	5
NA	3
1	5
1	10
2	1
1	7
10	5
7	8
4	6
1	10
2	7
1	5
6	NA
1	NA
6	3
1	7
4	5
2	5
2	4
5	2
10	2
5	9
1	4
8	NA
2	1
1	9
10	3
1	1
4	4
5	3
10	3
5	NA
1	1
4	5
5	NA
NA	5
NA	5
6	6
6	6
5	1
10	2
6	1
8	2
3	2
3	10
5	1
1	5
5	1
1	6
10	9
1	1
1	NA
4	NA
5	8
1	4
2	4
10	1
6	5
1	5
4	8
3	1
3	NA
3	4
NA	5
NA	9
10	6
9	5
6	1
5	1
7	5
NA	1
10	7
2	6
2	5
3	7
1	5
1	5
5	4
NA	NA
1	3
1	NA
3	2
6	3
8	4
7	5
8	5
6	6
4	2
1	1
3	10
4	10
3	5
10	1
5	1
NA	7
1	9
1	1
10	6
2	1
6	2
5	9
6	10
5	5
3	1
6	8
6	1
6	8
1	1
1	1
2	NA
1	NA
5	10
6	7
1	1
1	1
6	5
2	10
9	9
9	10
1	10
1	NA
10	2
NA	1
NA	1
1	5
6	4
10	1
10	1
NA	9
5	1
1	9
1	6
1	4
1	5
1	5
5	5
5	3
5	8
1	NA
2	NA
10	1
7	7
NA	10
6	10
NA	1
2	10
NA	1
NA	10
1	5
5	10
6	10
1	10
1	NA
4	5
2	1
2	7
2	3
1	5
1	10
8	1
10	5
6	4
5	6
7	4
3	10
2	10
1	NA
1	1
10	NA
1	7
7	6
2	6
5	5
4	7
4	1
NA	1
NA	1
3	7
3	4
6	10
1	8
7	4
3	1
1	1
1	7
4	1
3	1
NA	NA
NA	10
NA	5
NA	3
8	2
1	5
1	2
6	5
2	1
1	7
7	3
5	10
7	4
1	1
5	8
1	8
10	NA
5	10
1	9
6	1
1	1
4	NA
5	NA
7	5
1	5
5	6
1	1
8	6
3	5
1	8
NA	10
3	1
6	2
1	NA
NA	6
NA	6
6	1
NA	1
NA	1
1	1
2	8
1	8
1	5
4	3
4	5
7	5
1	6
2	NA
2	NA
2	1
2	3
4	6
5	7
10	6
10	10
5	7
1	3
2	1
3	1
1	2
4	1
6	5
NA	10
7	6
5	1
6	6
1	7
5	1
6	1
6	5
6	10
1	3
5	1
10	1
4	3
4	2
6	3
4	1
6	7
1	4
6	6
5	1
8	2
4	1
1	4
3	NA
5	6
5	10
6	10
4	8
4	NA
NA	7
NA	4
NA	10
NA	5
NA	4
1	8
1	8
1	10
4	9
8	5
1	1
5	2
5	3
5	6
1	5
3	7
3	6
5	3
5	5
2	1
4	1
3	4
5	2
1	2
9	1
1	8
6	10
6	5
10	2
5	8
10	1
5	10
NA	NA
3	1
10	1
10	8
4	NA
1	1
5	NA
8	NA
5	NA
5	NA
9	NA
1	NA
3	NA
4	NA
6	NA
NA	NA
6	NA
10	NA
1	NA
10	NA
1	NA
3	NA
6	NA
2	NA
4	NA
4	NA
1	NA
9	NA
10	NA
8	NA
10	NA
NA	NA
1	NA
5	NA
NA	NA
1	NA
NA	NA
NA	NA
1	NA
2	NA
3	NA
8	NA
2	NA
1	NA
1	NA
1	NA
1	NA
1	NA
7	NA
1	NA
9	NA
6	NA
8	NA
5	NA
5	NA
5	NA
1	NA
4	NA
1	NA
NA	NA
6	NA
5	NA
1	NA
NA	NA
6	NA
9	NA
6	NA
5	NA
1	NA
1	NA
5	NA
5	NA
2	NA
3	NA
5	NA
3	NA
10	NA
1	NA
7	NA
6	NA
8	NA
3	NA
3	NA
1	NA
NA	NA
5	NA
7	NA
1	NA
1	NA
5	NA
4	NA
5	NA
5	NA
5	NA
5	NA
5	NA
10	NA
9	NA
NA	NA
2	NA
