female	male
36	42
58	69
47	40
61	51
78	28
72	48
20	73
28	80
34	26
47	24
40	57
43	60
53	57
40	67
52	27
47	71
49	70
41	68
62	66
53	45
57	32
56	69
69	39
54	28
25	53
32	40
64	37
55	54
74	70
59	26
44	37
57	43
28	36
54	53
58	60
70	50
64	34
53	40
58	64
18	45
54	26
34	65
18	55
33	21
36	49
47	29
29	33
59	27
32	31
33	34
54	23
66	25
35	31
60	35
57	57
53	18
62	18
32	20
35	41
23	44
22	49
46	68
69	32
68	49
65	25
70	27
29	61
58	42
57	56
41	18
55	20
27	64
30	33
76	25
65	44
50	52
67	25
55	46
65	25
82	57
63	63
57	58
75	24
24	37
70	31
56	44
19	42
70	54
47	60
71	35
26	27
24	66
33	40
43	43
74	29
22	63
35	27
24	43
53	54
40	23
56	34
35	54
28	20
45	24
29	57
45	39
20	39
63	31
46	31
24	25
33	53
42	30
36	20
52	22
26	66
57	72
37	34
86	55
59	33
49	65
81	29
26	35
51	36
61	47
30	81
62	56
41	20
37	47
72	52
28	33
55	26
35	64
67	42
23	28
22	60
42	25
50	87
48	90
51	42
50	36
20	50
50	32
27	63
31	45
45	35
62	24
72	48
37	35
29	38
32	39
66	49
35	41
40	29
55	40
55	30
49	67
40	43
30	34
19	18
29	69
34	45
32	39
44	53
20	69
60	63
27	53
19	60
25	69
32	60
59	63
25	57
52	22
25	29
39	51
27	53
68	26
24	25
56	26
46	34
20	27
18	26
43	47
69	32
31	28
36	30
42	45
34	22
70	55
50	74
70	74
32	33
71	31
33	35
86	22
52	29
69	66
41	26
45	41
18	57
19	18
60	24
46	48
38	33
85	45
61	25
66	21
41	46
48	32
61	44
33	53
53	60
31	27
77	36
19	21
38	38
51	33
39	20
32	68
62	36
46	50
42	64
23	38
30	43
35	46
40	30
50	41
65	60
71	34
69	62
83	42
45	45
76	26
51	23
58	45
33	21
43	35
37	69
81	33
65	31
30	50
52	24
62	46
31	72
76	42
61	18
50	71
41	60
55	42
47	34
66	61
39	23
30	30
24	19
31	56
34	43
69	48
61	71
43	25
82	38
27	57
33	24
48	76
29	51
62	47
62	38
77	29
66	62
53	26
36	86
26	84
62	77
51	30
44	26
53	50
54	18
48	44
79	33
40	32
56	57
