freedom_equality	sex	wave
1	2	7
2	2	7
2	1	7
2	2	7
1	2	7
1	1	7
1	1	7
1	2	7
2	1	7
1	1	7
1	1	7
2	2	7
1	1	7
1	1	7
1	2	7
1	1	7
1	2	7
NA	1	7
NA	1	7
1	1	7
2	1	7
2	1	7
1	1	7
1	1	7
1	2	7
2	2	7
2	2	7
1	2	7
2	1	7
1	1	7
NA	2	7
2	1	7
1	2	7
2	2	7
2	2	7
2	1	7
1	2	7
1	2	7
2	2	7
2	2	7
2	2	7
1	1	7
1	2	7
2	2	7
2	2	7
NA	2	7
2	2	7
2	1	7
2	2	7
1	1	7
2	2	7
2	2	7
1	2	7
2	2	7
1	2	7
1	2	7
1	2	7
1	2	7
1	1	7
NA	1	7
2	1	7
2	1	7
2	2	7
1	2	7
2	1	7
2	1	7
1	1	7
2	2	7
2	2	7
1	1	7
1	2	7
2	2	7
2	2	7
1	2	7
1	2	7
1	2	7
2	1	7
2	1	7
1	2	7
2	2	7
1	1	7
2	2	7
2	2	7
2	1	7
1	2	7
1	2	7
1	1	7
1	1	7
2	1	7
2	1	7
1	2	7
1	1	7
1	1	7
2	2	7
1	2	7
1	1	7
2	1	7
2	2	7
1	1	7
2	1	7
1	2	7
2	1	7
1	1	7
2	2	7
1	2	7
2	2	7
NA	1	7
NA	1	7
1	1	7
2	1	7
1	1	7
1	2	7
1	2	7
1	1	7
1	1	7
2	2	7
2	1	7
2	2	7
NA	2	7
2	1	7
2	1	7
1	1	7
1	1	7
2	2	7
2	2	7
2	1	7
2	2	7
1	1	7
1	2	7
1	2	7
1	2	7
1	2	7
2	1	7
NA	2	7
1	2	7
1	2	7
2	1	7
1	1	7
2	1	7
1	2	7
2	2	7
2	2	7
1	1	7
2	2	7
NA	2	7
NA	1	7
NA	2	7
1	1	7
1	1	7
2	2	7
1	2	7
1	2	7
2	2	7
1	2	7
1	2	7
1	1	7
1	2	7
2	1	7
1	1	7
2	2	7
2	1	7
2	1	7
1	2	7
1	2	7
1	1	7
1	1	7
1	1	7
1	2	7
1	1	7
2	1	7
1	2	7
1	2	7
1	1	7
1	2	7
2	1	7
2	2	7
2	2	7
1	1	7
1	2	7
1	2	7
1	1	7
1	2	7
2	2	7
NA	1	7
1	2	7
2	2	7
2	2	7
1	2	7
1	2	7
1	2	7
1	2	7
1	2	7
2	2	7
2	2	7
2	2	7
2	2	7
2	1	7
2	2	7
1	2	7
1	1	7
2	2	7
1	1	7
1	2	7
1	2	7
1	1	7
1	2	7
1	1	7
1	2	7
1	2	7
2	1	7
1	1	7
2	1	7
2	2	7
1	1	7
1	1	7
1	1	7
1	2	7
1	2	7
2	2	7
1	2	7
1	2	7
1	2	7
2	1	7
1	2	7
2	2	7
1	2	7
2	2	7
1	1	7
NA	2	7
NA	2	7
NA	1	7
1	1	7
1	2	7
2	1	7
2	2	7
2	1	7
