country,work_status
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,unemployed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
Denmark,employed
